Checker	0.13002 -0.062391 0.58046 -0.18399 -0.74616 0.63478 0.46432 -0.11815 0.25898 0.30248 -0.245 -0.045527 1.0076 -0.043608 -0.50555 1.0073 0.95822 0.055028 1.189 -0.44188 -0.057352 -0.011269 0.093702 -0.25261 0.59569 -0.27962 -0.98209 -0.24204 -1.0558 -0.4108 0.161 0.39228 0.17442 0.44382 -0.72021 0.41543 0.24439 -0.51424 0.42077 -0.50747 -0.34845 0.45968 -0.43704 -0.37598 -0.59611 0.65289 0.61402 -0.58827 0.33339 0.29756 -0.29417 0.32461 -1.0895 0.37002 -0.018221 0.10755 -0.50583 0.81974 -0.25117 0.308 0.58341 -0.26924 -0.56347 0.24986 0.057725 -0.15313 0.1123 0.60496 0.18689 -0.063348 -1.2483 0.45495 -0.11297 0.30004 0.99238 0.42545 0.64721 -0.41539 -0.15112 -1.2521 -0.12764 -0.77641 -0.38456 -0.60931 -0.37977 0.40477 0.090544 -0.43562 -0.27412 0.58401 -0.42417 1.128 -0.052297 -0.11871 0.37636 0.076853 0.13866 0.37201 0.45978 -0.29341

LevenbergMarquardtOptimizer	
ignores	-0.34001 0.47003 0.97626 0.42256 -0.12957 0.32219 -0.71084 0.35827 0.99958 -0.42134 -0.00074016 0.29834 -0.043715 -0.14375 0.093719 0.40014 -0.30112 0.15601 0.22769 0.25859 -0.38493 -0.56691 0.3972 -0.080266 0.21247 0.075725 -0.57329 -0.5026 -0.54351 -0.44626 -0.033552 0.71912 -0.30743 0.38278 -0.70296 0.063325 -0.1125 -0.44298 -0.54033 -0.11669 -0.5902 0.62882 0.16425 0.33226 -0.61759 -0.36036 0.021398 0.42522 -0.48127 0.067414 0.63847 0.13406 0.11497 0.2413 0.14128 -0.21764 0.73295 -0.20276 0.1292 -0.53186 0.28651 -0.63555 0.35736 -0.29563 0.33029 -0.21487 0.04021 -0.4596 -0.29062 0.32561 0.14178 -0.20277 -0.073482 0.12174 0.32856 -0.054598 -0.10752 -0.51316 -0.49175 0.1961 -0.039833 0.071863 -0.58189 0.15848 -0.76724 -0.25145 -0.68055 0.094689 0.18397 -0.22548 -0.10037 0.093065 -0.16587 -0.076638 -0.052782 -0.016046 -0.26691 -0.25295 -0.36134 0.77606
VectorialConvergenceChecker	
parameter	-0.91764 0.079889 -0.15248 1.11 -0.69633 0.5662 -0.16584 -0.36496 -0.20524 0.37598 0.22226 -0.41385 -0.32852 -0.2381 0.42677 0.23588 -0.16021 1.2105 0.83345 -0.15443 0.035294 -1.0828 -0.084742 0.44196 0.22169 0.078941 0.23818 0.43015 -0.72714 -0.6199 -0.010833 0.0069916 0.24243 1.1532 1.0982 -0.041059 0.31017 0.67925 0.31363 -1.0447 0.063159 -0.22826 0.34778 0.48777 -0.403 -0.29 -0.32791 0.1411 -0.72391 0.50792 1.1692 0.069638 0.36933 0.86819 0.32905 -0.19936 -0.11623 -0.20649 0.34488 0.67494 -0.3036 -0.54693 0.31715 0.52689 1.3791 0.36137 -0.6053 -0.76725 0.97532 -0.1686 -0.66659 0.3472 0.57306 0.14567 1.6106 -0.36775 -0.61028 -0.84422 -0.13513 -0.12564 -0.52312 -0.66688 -1.1065 -0.79482 0.21043 0.76528 0.70327 -1.0804 0.25858 -1.2346 -0.90731 0.51968 0.35863 -0.598 0.55309 -0.1248 0.36357 -0.39172 0.043882 0.15676
passed	0.52498 -0.61199 0.52859 -0.23997 0.31922 0.56388 -0.31213 0.28153 -0.083486 -0.56013 0.34134 0.17623 -0.18906 -0.14402 0.16214 -0.42674 0.49894 0.58819 -0.94832 -0.50584 0.40797 -0.065047 0.3665 -0.21425 0.010301 -0.29777 -0.89793 -0.50371 -0.31123 -0.056109 0.1753 0.43412 0.47613 -0.033165 -0.063965 -0.0052108 -0.17299 -0.5715 -0.6569 0.76091 -0.69602 -0.7158 0.76503 -0.082972 -0.14631 -0.34957 0.18605 0.0085974 0.10123 -0.5135 0.29149 0.25511 0.046382 0.98296 -0.31574 -1.5829 -0.28686 0.053002 1.4816 0.22872 0.296 0.55061 0.27489 0.1463 0.40099 0.13784 -0.28065 0.19459 0.078893 -0.41809 0.088739 -0.16349 0.25007 -0.11031 -0.15978 0.3437 -0.53642 -0.10244 -1.0271 -0.44546 0.22731 -0.24392 -0.049425 -0.53762 -1.1226 0.0096556 1.173 -1.1139 -0.27351 -0.063999 -0.1347 -0.41787 -0.68377 0.90071 -0.74185 0.61918 0.021728 0.20528 0.18384 -0.87346
Levenberg	0.090854 -0.3015 -0.87188 -0.35261 0.087421 -0.39187 -0.095896 -0.48159 0.12982 -0.39191 0.30098 0.29326 -0.36675 -0.67938 -0.10924 0.4027 -0.50789 0.35193 0.25035 -0.28131 -0.76436 -0.11324 0.25129 0.068178 -0.30118 -0.034061 0.34176 0.45324 0.0092531 0.36567 -0.13562 -0.29105 0.10147 -0.11971 -0.37587 -0.51616 0.23199 0.19297 0.068785 0.46633 0.27735 0.044899 -0.21731 0.20452 -0.12946 0.20991 0.12789 0.10635 -0.06884 0.71267 -0.044637 -0.2215 -0.13023 -0.48877 0.084868 0.38402 0.023777 0.090642 -1.0221 -0.5072 -0.010663 -0.38138 0.46556 -0.52935 -0.053972 -0.14293 -0.75757 -0.1963 -0.53757 -0.2189 0.16474 0.16356 0.11794 0.27161 -0.40972 -0.075457 0.08141 -0.070427 0.35681 0.1934 0.1914 0.031523 0.078937 -0.45014 0.50164 0.043395 0.0037011 -0.4926 0.17826 0.63328 0.32946 0.44445 0.45977 -0.096752 0.36742 -0.19242 -0.32281 0.47464 -0.54359 0.24832
Marquardt	0.43579 -0.27946 -0.64914 -0.55038 -0.27625 -0.11422 -0.10273 0.16601 -0.013333 -0.2311 0.12135 0.0097646 -0.10133 -0.55866 0.31905 -0.18595 -0.030425 0.65304 0.15841 -0.60021 -0.30878 -0.48478 0.55469 0.84571 0.78234 0.080232 0.38265 -0.037094 -0.43286 0.44803 -0.25673 0.17298 0.23326 -0.041021 -0.23287 0.28198 0.31029 0.30925 -0.0025933 0.024515 -0.29483 0.17292 -0.1578 0.065494 -0.17 0.1795 -0.056962 0.18301 -0.25637 0.6548 -0.04627 0.018565 0.17335 0.40186 -0.21062 0.20043 0.025928 -0.18534 -1.3603 -0.43245 0.35254 -0.59226 0.28259 -0.015666 -0.087273 -0.3422 -0.062562 0.20594 -0.44417 0.046108 -0.01048 -0.17944 0.44962 -0.22553 0.042849 0.078625 0.29813 -0.55182 -0.09506 0.24049 -0.01273 -0.43933 0.072875 -0.14348 0.27626 -0.1694 0.25702 -0.58782 -0.34528 -0.2325 0.075071 -0.056863 0.48474 -0.0037208 0.35736 0.038188 0.21055 0.2249 -0.32624 0.68628
Optimizer	-0.29685 0.59475 0.4746 -0.11835 0.32403 0.55505 -0.38546 -0.21587 0.32649 0.25272 0.068257 -0.28231 -0.52911 -0.63167 -0.4597 0.21272 -0.10645 0.61376 0.30194 0.042009 -0.8078 -0.99817 -0.83066 0.11206 0.32445 0.38881 -0.046723 1.0266 -0.10969 -0.18965 -0.52154 0.44481 -0.031531 0.20231 0.47604 -0.084718 -0.046969 -0.4448 0.32423 -0.57488 -0.29732 0.053794 -0.26884 -0.022808 0.0027875 0.044467 0.067046 0.017895 0.059348 0.27622 -0.43433 0.32963 0.18111 0.28053 0.21807 0.50126 0.12546 0.056736 -0.19987 -0.062615 -0.040405 -0.84336 0.23897 0.48912 -0.30108 0.17079 -0.21862 -0.48624 -0.081876 0.072206 0.11012 -0.024721 0.2956 0.79721 -0.14915 -0.32999 -0.22562 0.38877 0.013647 -0.25896 -0.13485 -0.36784 -0.0095646 -0.53729 0.67377 0.59344 0.80421 0.12066 -0.23098 0.12518 0.19044 0.72469 -0.51397 0.28001 0.57346 0.20433 0.061858 -0.22946 -0.1223 0.20217
